id	dist_method	tree_method	rf
1	weighted_hamming	nj	0.510445682451253
1	weighted_hamming	upgma	0.543871866295265
1	weighted_hamming	fastme	0.481197771587744
1	weighted_hamming	fastme_tree_rearrangement	0.446378830083565
2	weighted_hamming	nj	0.508816120906801
2	weighted_hamming	upgma	0.560273479668946
2	weighted_hamming	fastme	0.473191795609932
2	weighted_hamming	fastme_tree_rearrangement	0.426052536883771
3	weighted_hamming	nj	0.532340623545835
3	weighted_hamming	upgma	0.559329920893439
3	weighted_hamming	fastme	0.469986040018613
3	weighted_hamming	fastme_tree_rearrangement	0.428106095858539
4	weighted_hamming	nj	0.55832992222677
4	weighted_hamming	upgma	0.559557920589439
4	weighted_hamming	fastme	0.476054031927957
4	weighted_hamming	fastme_tree_rearrangement	0.435939418747442
5	weighted_hamming	nj	0.540747842761266
5	weighted_hamming	upgma	0.565675934803452
5	weighted_hamming	fastme	0.514860977948226
5	weighted_hamming	fastme_tree_rearrangement	0.465963566634708
6	weighted_hamming	nj	0.498269896193772
6	weighted_hamming	upgma	0.5
6	weighted_hamming	fastme	0.451557093425606
6	weighted_hamming	fastme_tree_rearrangement	0.404844290657439
7	weighted_hamming	nj	0.538076152304609
7	weighted_hamming	upgma	0.570140280561122
7	weighted_hamming	fastme	0.485971943887776
7	weighted_hamming	fastme_tree_rearrangement	0.454909819639279
8	weighted_hamming	nj	0.548407848182695
8	weighted_hamming	upgma	0.585397233837247
8	weighted_hamming	fastme	0.510775168864587
8	weighted_hamming	fastme_tree_rearrangement	0.474750723705372
9	weighted_hamming	nj	0.544773790951638
9	weighted_hamming	upgma	0.591575663026521
9	weighted_hamming	fastme	0.492979719188768
9	weighted_hamming	fastme_tree_rearrangement	0.450858034321373
10	weighted_hamming	nj	0.536328871892925
10	weighted_hamming	upgma	0.574251115360102
10	weighted_hamming	fastme	0.495857233906947
10	weighted_hamming	fastme_tree_rearrangement	0.452836201402167
11	weighted_hamming	nj	0.533613445378151
11	weighted_hamming	upgma	0.547899159663866
11	weighted_hamming	fastme	0.508403361344538
11	weighted_hamming	fastme_tree_rearrangement	0.467647058823529
12	weighted_hamming	nj	0.572443181818182
12	weighted_hamming	upgma	0.56155303030303
12	weighted_hamming	fastme	0.496212121212121
12	weighted_hamming	fastme_tree_rearrangement	0.463068181818182
13	weighted_hamming	nj	0.541855670103093
13	weighted_hamming	upgma	0.562061855670103
13	weighted_hamming	fastme	0.502268041237113
13	weighted_hamming	fastme_tree_rearrangement	0.470515463917526
14	weighted_hamming	nj	0.491493383742911
14	weighted_hamming	upgma	0.53875236294896
14	weighted_hamming	fastme	0.485822306238185
14	weighted_hamming	fastme_tree_rearrangement	0.45179584120983
15	weighted_hamming	nj	0.531714389271475
15	weighted_hamming	upgma	0.559623051830373
15	weighted_hamming	fastme	0.476984414642987
15	weighted_hamming	fastme_tree_rearrangement	0.442914099311345
16	weighted_hamming	nj	0.558912386706949
16	weighted_hamming	upgma	0.597432024169184
16	weighted_hamming	fastme	0.513595166163142
16	weighted_hamming	fastme_tree_rearrangement	0.467522658610272
17	weighted_hamming	nj	0.560499609679938
17	weighted_hamming	upgma	0.573770491803279
17	weighted_hamming	fastme	0.500390320062451
17	weighted_hamming	fastme_tree_rearrangement	0.481654957064793
18	weighted_hamming	nj	0.412011173184358
18	weighted_hamming	upgma	0.444134078212291
18	weighted_hamming	fastme	0.435754189944134
18	weighted_hamming	fastme_tree_rearrangement	0.402234636871508
19	weighted_hamming	nj	0.515750915750916
19	weighted_hamming	upgma	0.534065934065934
19	weighted_hamming	fastme	0.487179487179487
19	weighted_hamming	fastme_tree_rearrangement	0.420512820512821
20	weighted_hamming	nj	0.516273849607183
20	weighted_hamming	upgma	0.536475869809203
20	weighted_hamming	fastme	0.435465768799102
20	weighted_hamming	fastme_tree_rearrangement	0.420875420875421
21	weighted_hamming	nj	0.569488456315075
21	weighted_hamming	upgma	0.571299230421005
21	weighted_hamming	fastme	0.54232684472612
21	weighted_hamming	fastme_tree_rearrangement	0.502489814395654
22	weighted_hamming	nj	0.534114052953157
22	weighted_hamming	upgma	0.563136456211813
22	weighted_hamming	fastme	0.469959266802444
22	weighted_hamming	fastme_tree_rearrangement	0.426171079429735
23	weighted_hamming	nj	0.49194729136164
23	weighted_hamming	upgma	0.547584187408492
23	weighted_hamming	fastme	0.462664714494876
23	weighted_hamming	fastme_tree_rearrangement	0.436310395314788
24	weighted_hamming	nj	0.477203647416413
24	weighted_hamming	upgma	0.57548125633232
24	weighted_hamming	fastme	0.460992907801418
24	weighted_hamming	fastme_tree_rearrangement	0.434650455927052
25	weighted_hamming	nj	0.463141025641026
25	weighted_hamming	upgma	0.517628205128205
25	weighted_hamming	fastme	0.426282051282051
25	weighted_hamming	fastme_tree_rearrangement	0.403846153846154
26	weighted_hamming	nj	0.506403940886699
26	weighted_hamming	upgma	0.477832512315271
26	weighted_hamming	fastme	0.455172413793103
26	weighted_hamming	fastme_tree_rearrangement	0.429556650246305
27	weighted_hamming	nj	0.498257839721254
27	weighted_hamming	upgma	0.556910569105691
27	weighted_hamming	fastme	0.481997677119628
27	weighted_hamming	fastme_tree_rearrangement	0.448896631823461
28	weighted_hamming	nj	0.531086577571179
28	weighted_hamming	upgma	0.547937245787333
28	weighted_hamming	fastme	0.488088320743754
28	weighted_hamming	fastme_tree_rearrangement	0.442765833817548
29	weighted_hamming	nj	0.475979305247598
29	weighted_hamming	upgma	0.489283074648928
29	weighted_hamming	fastme	0.450110864745011
29	weighted_hamming	fastme_tree_rearrangement	0.419807834441981
30	weighted_hamming	nj	0.480490523968785
30	weighted_hamming	upgma	0.546265328874025
30	weighted_hamming	fastme	0.473801560758082
30	weighted_hamming	fastme_tree_rearrangement	0.41917502787068
31	weighted_hamming	nj	0.533762057877814
31	weighted_hamming	upgma	0.545418006430868
31	weighted_hamming	fastme	0.483118971061093
31	weighted_hamming	fastme_tree_rearrangement	0.439710610932476
32	weighted_hamming	nj	0.497967479674797
32	weighted_hamming	upgma	0.544037940379404
32	weighted_hamming	fastme	0.461382113821138
32	weighted_hamming	fastme_tree_rearrangement	0.423441734417344
33	weighted_hamming	nj	0.507042253521127
33	weighted_hamming	upgma	0.565217391304348
33	weighted_hamming	fastme	0.49724433557869
33	weighted_hamming	fastme_tree_rearrangement	0.464788732394366
34	weighted_hamming	nj	0.539333805811481
34	weighted_hamming	upgma	0.567682494684621
34	weighted_hamming	fastme	0.505315379163714
34	weighted_hamming	fastme_tree_rearrangement	0.442239546420978
35	weighted_hamming	nj	0.490220820189274
35	weighted_hamming	upgma	0.511671924290221
35	weighted_hamming	fastme	0.44416403785489
35	weighted_hamming	fastme_tree_rearrangement	0.410094637223975
36	weighted_hamming	nj	0.524734982332155
36	weighted_hamming	upgma	0.580388692579505
36	weighted_hamming	fastme	0.471731448763251
36	weighted_hamming	fastme_tree_rearrangement	0.426678445229682
37	weighted_hamming	nj	0.552403011001737
37	weighted_hamming	upgma	0.587145338737695
37	weighted_hamming	fastme	0.510712217718587
37	weighted_hamming	fastme_tree_rearrangement	0.465547191661841
38	weighted_hamming	nj	0.498406628425749
38	weighted_hamming	upgma	0.502230720203952
38	weighted_hamming	fastme	0.458253664754621
38	weighted_hamming	fastme_tree_rearrangement	0.412364563416189
39	weighted_hamming	nj	0.489614243323442
39	weighted_hamming	upgma	0.483679525222552
39	weighted_hamming	fastme	0.47082096933729
39	weighted_hamming	fastme_tree_rearrangement	0.448071216617211
40	weighted_hamming	nj	0.505888125613346
40	weighted_hamming	upgma	0.514720314033366
40	weighted_hamming	fastme	0.457801766437684
40	weighted_hamming	fastme_tree_rearrangement	0.419038272816487
41	weighted_hamming	nj	0.601194921583271
41	weighted_hamming	upgma	0.613144137415982
41	weighted_hamming	fastme	0.548170276325616
41	weighted_hamming	fastme_tree_rearrangement	0.507841672890217
42	weighted_hamming	nj	0.497297297297297
42	weighted_hamming	upgma	0.543918918918919
42	weighted_hamming	fastme	0.470945945945946
42	weighted_hamming	fastme_tree_rearrangement	0.422297297297297
43	weighted_hamming	nj	0.496993987975952
43	weighted_hamming	upgma	0.569138276553106
43	weighted_hamming	fastme	0.470941883767535
43	weighted_hamming	fastme_tree_rearrangement	0.444889779559118
44	weighted_hamming	nj	0.567341242149337
44	weighted_hamming	upgma	0.587229588276343
44	weighted_hamming	fastme	0.505233775296581
44	weighted_hamming	fastme_tree_rearrangement	0.474877878576413
45	weighted_hamming	nj	0.460941541645111
45	weighted_hamming	upgma	0.488360062079669
45	weighted_hamming	fastme	0.4593895499224
45	weighted_hamming	fastme_tree_rearrangement	0.430419037765132
46	weighted_hamming	nj	0.558631496474275
46	weighted_hamming	upgma	0.586837294332724
46	weighted_hamming	fastme	0.511882998171846
46	weighted_hamming	fastme_tree_rearrangement	0.481326717158527
47	weighted_hamming	nj	0.505255781359495
47	weighted_hamming	upgma	0.508058864751226
47	weighted_hamming	fastme	0.480028030833917
47	weighted_hamming	fastme_tree_rearrangement	0.447091800981079
48	weighted_hamming	nj	0.567548500881834
48	weighted_hamming	upgma	0.568959435626102
48	weighted_hamming	fastme	0.525925925925926
48	weighted_hamming	fastme_tree_rearrangement	0.479012345679012
49	weighted_hamming	nj	0.460562603419746
49	weighted_hamming	upgma	0.484831770546056
49	weighted_hamming	fastme	0.455598455598456
49	weighted_hamming	fastme_tree_rearrangement	0.435741864313293
50	weighted_hamming	nj	0.510934393638171
50	weighted_hamming	upgma	0.533797216699801
50	weighted_hamming	fastme	0.493041749502982
50	weighted_hamming	fastme_tree_rearrangement	0.457256461232604
51	weighted_hamming	nj	0.528763183125599
51	weighted_hamming	upgma	0.559923298178332
51	weighted_hamming	fastme	0.447746883988495
51	weighted_hamming	fastme_tree_rearrangement	0.412272291466922
52	weighted_hamming	nj	0.494329896907217
52	weighted_hamming	upgma	0.500515463917526
52	weighted_hamming	fastme	0.472680412371134
52	weighted_hamming	fastme_tree_rearrangement	0.45
53	weighted_hamming	nj	0.54574332909784
53	weighted_hamming	upgma	0.564803049555273
53	weighted_hamming	fastme	0.496823379923761
53	weighted_hamming	fastme_tree_rearrangement	0.452350698856417
54	weighted_hamming	nj	0.533877551020408
54	weighted_hamming	upgma	0.570612244897959
54	weighted_hamming	fastme	0.515102040816326
54	weighted_hamming	fastme_tree_rearrangement	0.468571428571429
55	weighted_hamming	nj	0.586881188118812
55	weighted_hamming	upgma	0.572772277227723
55	weighted_hamming	fastme	0.532673267326733
55	weighted_hamming	fastme_tree_rearrangement	0.504950495049505
56	weighted_hamming	nj	0.486486486486487
56	weighted_hamming	upgma	0.521621621621622
56	weighted_hamming	fastme	0.445945945945946
56	weighted_hamming	fastme_tree_rearrangement	0.42972972972973
57	weighted_hamming	nj	0.479910714285714
57	weighted_hamming	upgma	0.502232142857143
57	weighted_hamming	fastme	0.489955357142857
57	weighted_hamming	fastme_tree_rearrangement	0.454241071428571
58	weighted_hamming	nj	0.570036540803898
58	weighted_hamming	upgma	0.567600487210719
58	weighted_hamming	fastme	0.51278928136419
58	weighted_hamming	fastme_tree_rearrangement	0.464068209500609
59	weighted_hamming	nj	0.54871546291808
59	weighted_hamming	upgma	0.534173533688803
59	weighted_hamming	fastme	0.510906446921958
59	weighted_hamming	fastme_tree_rearrangement	0.467280659234125
60	weighted_hamming	nj	0.499272197962154
60	weighted_hamming	upgma	0.544395924308588
60	weighted_hamming	fastme	0.470160116448326
60	weighted_hamming	fastme_tree_rearrangement	0.442503639010189
61	weighted_hamming	nj	0.516625615763547
61	weighted_hamming	upgma	0.508620689655172
61	weighted_hamming	fastme	0.489532019704433
61	weighted_hamming	fastme_tree_rearrangement	0.453817733990148
62	weighted_hamming	nj	0.536231884057971
62	weighted_hamming	upgma	0.620553359683794
62	weighted_hamming	fastme	0.511198945981555
62	weighted_hamming	fastme_tree_rearrangement	0.476943346508564
63	weighted_hamming	nj	0.487058823529412
63	weighted_hamming	upgma	0.527058823529412
63	weighted_hamming	fastme	0.44
63	weighted_hamming	fastme_tree_rearrangement	0.397647058823529
64	weighted_hamming	nj	0.560024009603842
64	weighted_hamming	upgma	0.560024009603842
64	weighted_hamming	fastme	0.505402160864346
64	weighted_hamming	fastme_tree_rearrangement	0.470588235294118
65	weighted_hamming	nj	0.522950819672131
65	weighted_hamming	upgma	0.550819672131148
65	weighted_hamming	fastme	0.481420765027322
65	weighted_hamming	fastme_tree_rearrangement	0.436612021857923
66	weighted_hamming	nj	0.440677966101695
66	weighted_hamming	upgma	0.450847457627119
66	weighted_hamming	fastme	0.447457627118644
66	weighted_hamming	fastme_tree_rearrangement	0.423728813559322
67	weighted_hamming	nj	0.524049217002237
67	weighted_hamming	upgma	0.555369127516778
67	weighted_hamming	fastme	0.507270693512304
67	weighted_hamming	fastme_tree_rearrangement	0.467561521252796
68	weighted_hamming	nj	0.486451612903226
68	weighted_hamming	upgma	0.554838709677419
68	weighted_hamming	fastme	0.485161290322581
68	weighted_hamming	fastme_tree_rearrangement	0.44258064516129
69	weighted_hamming	nj	0.415029888983775
69	weighted_hamming	upgma	0.433817250213493
69	weighted_hamming	fastme	0.403074295473954
69	weighted_hamming	fastme_tree_rearrangement	0.368061485909479
70	weighted_hamming	nj	0.479220779220779
70	weighted_hamming	upgma	0.57012987012987
70	weighted_hamming	fastme	0.479220779220779
70	weighted_hamming	fastme_tree_rearrangement	0.450649350649351
71	weighted_hamming	nj	0.593396226415094
71	weighted_hamming	upgma	0.587971698113208
71	weighted_hamming	fastme	0.525235849056604
71	weighted_hamming	fastme_tree_rearrangement	0.492216981132075
72	weighted_hamming	nj	0.469914040114613
72	weighted_hamming	upgma	0.504297994269341
72	weighted_hamming	fastme	0.458452722063037
72	weighted_hamming	fastme_tree_rearrangement	0.452722063037249
73	weighted_hamming	nj	0.560203504804975
73	weighted_hamming	upgma	0.535895986433013
73	weighted_hamming	fastme	0.492368569813454
73	weighted_hamming	fastme_tree_rearrangement	0.438100621820237
74	weighted_hamming	nj	0.477855477855478
74	weighted_hamming	upgma	0.553613053613054
74	weighted_hamming	fastme	0.458041958041958
74	weighted_hamming	fastme_tree_rearrangement	0.417249417249417
75	weighted_hamming	nj	0.521208599651365
75	weighted_hamming	upgma	0.585705984892504
75	weighted_hamming	fastme	0.485764090644974
75	weighted_hamming	fastme_tree_rearrangement	0.441603718768158
76	weighted_hamming	nj	0.545414847161572
76	weighted_hamming	upgma	0.519213973799127
76	weighted_hamming	fastme	0.500873362445415
76	weighted_hamming	fastme_tree_rearrangement	0.45938864628821
77	weighted_hamming	nj	0.474048442906574
77	weighted_hamming	upgma	0.549019607843137
77	weighted_hamming	fastme	0.479815455594002
77	weighted_hamming	fastme_tree_rearrangement	0.438292964244521
79	weighted_hamming	nj	0.485803189420459
79	weighted_hamming	upgma	0.509918319719953
79	weighted_hamming	fastme	0.503695060287826
79	weighted_hamming	fastme_tree_rearrangement	0.47218980941268
80	weighted_hamming	nj	0.529141104294479
80	weighted_hamming	upgma	0.562116564417178
80	weighted_hamming	fastme	0.492331288343558
80	weighted_hamming	fastme_tree_rearrangement	0.470092024539877
81	weighted_hamming	nj	0.532229965156794
81	weighted_hamming	upgma	0.570557491289199
81	weighted_hamming	fastme	0.503484320557491
81	weighted_hamming	fastme_tree_rearrangement	0.481707317073171
82	weighted_hamming	nj	0.571851851851852
82	weighted_hamming	upgma	0.587407407407407
82	weighted_hamming	fastme	0.497037037037037
82	weighted_hamming	fastme_tree_rearrangement	0.477037037037037
83	weighted_hamming	nj	0.55875486381323
83	weighted_hamming	upgma	0.557198443579767
83	weighted_hamming	fastme	0.495719844357977
83	weighted_hamming	fastme_tree_rearrangement	0.466147859922179
84	weighted_hamming	nj	0.551711446448289
84	weighted_hamming	upgma	0.583732057416268
84	weighted_hamming	fastme	0.489878542510121
84	weighted_hamming	fastme_tree_rearrangement	0.449760765550239
85	weighted_hamming	nj	0.474981329350261
85	weighted_hamming	upgma	0.504854368932039
