seed	n_targets	mutation_prob	n_samples	dropout_prob	division	deletion	param_id	dist_method	tree_method	rf
1	50	0.02	100	0	16	FALSE	1	weighted_hamming	nj	0.597938144329897
1	50	0.02	100	0	16	FALSE	1	weighted_hamming	upgma	0.65979381443299
1	50	0.02	100	0	16	FALSE	1	weighted_hamming	fastme	0.618556701030928
1	50	0.02	100	0	16	FALSE	1	weighted_hamming	fastme_tree_rearrangement	0.597938144329897
2	50	0.02	100	0	16	FALSE	2	weighted_hamming	nj	0.65979381443299
2	50	0.02	100	0	16	FALSE	2	weighted_hamming	upgma	0.752577319587629
2	50	0.02	100	0	16	FALSE	2	weighted_hamming	fastme	0.752577319587629
2	50	0.02	100	0	16	FALSE	2	weighted_hamming	fastme_tree_rearrangement	0.680412371134021
3	50	0.02	100	0	16	FALSE	3	weighted_hamming	nj	0.402061855670103
3	50	0.02	100	0	16	FALSE	3	weighted_hamming	upgma	0.680412371134021
3	50	0.02	100	0	16	FALSE	3	weighted_hamming	fastme	0.391752577319588
3	50	0.02	100	0	16	FALSE	3	weighted_hamming	fastme_tree_rearrangement	0.43298969072165
4	50	0.02	100	0	16	FALSE	4	weighted_hamming	nj	0.474226804123711
4	50	0.02	100	0	16	FALSE	4	weighted_hamming	upgma	0.536082474226804
4	50	0.02	100	0	16	FALSE	4	weighted_hamming	fastme	0.443298969072165
4	50	0.02	100	0	16	FALSE	4	weighted_hamming	fastme_tree_rearrangement	0.412371134020619
5	50	0.02	100	0	16	FALSE	5	weighted_hamming	nj	0.371134020618557
5	50	0.02	100	0	16	FALSE	5	weighted_hamming	upgma	0.494845360824742
5	50	0.02	100	0	16	FALSE	5	weighted_hamming	fastme	0.43298969072165
5	50	0.02	100	0	16	FALSE	5	weighted_hamming	fastme_tree_rearrangement	0.381443298969072
1	100	0.02	100	0	16	FALSE	6	weighted_hamming	nj	0.350515463917526
1	100	0.02	100	0	16	FALSE	6	weighted_hamming	upgma	0.45360824742268
1	100	0.02	100	0	16	FALSE	6	weighted_hamming	fastme	0.484536082474227
1	100	0.02	100	0	16	FALSE	6	weighted_hamming	fastme_tree_rearrangement	0.371134020618557
2	100	0.02	100	0	16	FALSE	7	weighted_hamming	nj	0.319587628865979
2	100	0.02	100	0	16	FALSE	7	weighted_hamming	upgma	0.536082474226804
2	100	0.02	100	0	16	FALSE	7	weighted_hamming	fastme	0.391752577319588
2	100	0.02	100	0	16	FALSE	7	weighted_hamming	fastme_tree_rearrangement	0.319587628865979
3	100	0.02	100	0	16	FALSE	8	weighted_hamming	nj	0.195876288659794
3	100	0.02	100	0	16	FALSE	8	weighted_hamming	upgma	0.45360824742268
3	100	0.02	100	0	16	FALSE	8	weighted_hamming	fastme	0.206185567010309
3	100	0.02	100	0	16	FALSE	8	weighted_hamming	fastme_tree_rearrangement	0.134020618556701
4	100	0.02	100	0	16	FALSE	9	weighted_hamming	nj	0.288659793814433
4	100	0.02	100	0	16	FALSE	9	weighted_hamming	upgma	0.45360824742268
4	100	0.02	100	0	16	FALSE	9	weighted_hamming	fastme	0.309278350515464
4	100	0.02	100	0	16	FALSE	9	weighted_hamming	fastme_tree_rearrangement	0.309278350515464
5	100	0.02	100	0	16	FALSE	10	weighted_hamming	nj	0.0824742268041237
5	100	0.02	100	0	16	FALSE	10	weighted_hamming	upgma	0.319587628865979
5	100	0.02	100	0	16	FALSE	10	weighted_hamming	fastme	0.144329896907216
5	100	0.02	100	0	16	FALSE	10	weighted_hamming	fastme_tree_rearrangement	0.103092783505155
1	200	0.02	100	0	16	FALSE	11	weighted_hamming	nj	0.11340206185567
1	200	0.02	100	0	16	FALSE	11	weighted_hamming	upgma	0.278350515463918
1	200	0.02	100	0	16	FALSE	11	weighted_hamming	fastme	0.22680412371134
1	200	0.02	100	0	16	FALSE	11	weighted_hamming	fastme_tree_rearrangement	0.123711340206186
2	200	0.02	100	0	16	FALSE	12	weighted_hamming	nj	0.154639175257732
2	200	0.02	100	0	16	FALSE	12	weighted_hamming	upgma	0.206185567010309
2	200	0.02	100	0	16	FALSE	12	weighted_hamming	fastme	0.164948453608247
2	200	0.02	100	0	16	FALSE	12	weighted_hamming	fastme_tree_rearrangement	0.164948453608247
3	200	0.02	100	0	16	FALSE	13	weighted_hamming	nj	0.0515463917525773
3	200	0.02	100	0	16	FALSE	13	weighted_hamming	upgma	0.175257731958763
3	200	0.02	100	0	16	FALSE	13	weighted_hamming	fastme	0.0721649484536082
